tree_id,fractal_dim
4.3_169,1.87920046753854
4.3_170,1.91370594052506
4.3_171,1.96463564137335
4.3_172,1.80516875687306
4.3_173,1.8271040445394
4.3_174,1.74363360035719
4.3_175,1.82337936094537
4.3_176,1.88960423399852
4.3_177,1.68221276882178
4.3_178,1.81876001488807
4.3_179,1.73101421338838
4.3_180,1.8546748709438
4.3_181,1.47624396848647
4.3_182,1.61620927728498
4.3_183,1.75611377497811
4.3_184,1.72218241179081
4.3_185,1.92188682845755
4.3_19,1.72105708911097
4.3_1,1.90551325553174
4.3_200,1.66079104230113
4.3_21,1.70910361116915
4.3_22,1.94537123825148
4.3_23,1.68848241496353
4.3_24,1.86698596810998
4.3_25,1.73465963736597
4.3_26,1.88217739281423
4.3_27,1.8946132529242
4.3_28,1.90354095474482
4.3_29,1.81918422179261
4.3_2,1.75034393942581
4.3_30,1.92804559798006
4.3_32,1.93056342875467
4.3_34,1.82311659167841
4.3_38,1.78378482359206
4.3_39,1.94169953964944
4.3_3,1.68405623181872
4.3_40,1.81303284550103
4.3_41,1.865745583378
4.3_42,1.71534100121622
4.3_43,2.06493554823319
4.3_44,1.87922553538599
4.3_45,1.65911326492236
4.3_46,1.62712441558656
4.3_47,1.87623584965513
4.3_48,1.834017566978
4.3_49,1.86950210566344
4.3_4,1.34308578660025
4.3_50,1.80726921112941
4.3_51,1.90921801325226
4.3_52,2.02845518400935
4.3_53,1.87233883493445
4.3_54,1.57680913757085
4.3_55,1.83245670009853
4.3_56,1.8047123912114
4.3_59,1.85139427046329
4.3_5,1.8788303747934
4.3_60,1.9092395868081
4.3_63,1.70676742060044
4.3_65,1.35344529780425
4.3_66,1.75426204644912
4.3_67,1.91764166162886
4.3_6,1.74335927135243
4.3_71,1.74152660897084
4.3_73,1.80095223027674
4.3_74,1.99599528599592
4.3_75,1.57128926736855
4.3_76,1.96108595903365
4.3_77,1.93922029736424
4.3_78,1.73747068325368
4.3_79,1.7469703733715
4.3_7,1.91364954830597
4.3_80,1.63913330362787
4.3_85,1.94061867184191
4.3_86,1.70242339992419
4.3_87,1.66699865360861
4.3_8,1.63816354019757
4.3_93,1.79556565989422
4.3_94,2.00904846174881
4.3_95,1.70323190444932
4.3_96,1.7218998479824
4.3_98,2.00243882631615
4.3_99,2.00436381806601
4.3_9,1.87370352217127
4.4b_100,1.88010186369553
4.4b_101,1.99955403032514
4.4b_102,1.74062146227009
4.4b_104,1.56798490681981
4.4b_105,1.45635913788725
4.4b_106,1.55386240319753
4.4b_107,1.8236431944026
4.4b_108,1.71999540378915
4.4b_109,1.73893130172736
4.4b_10,1.88351788750796
4.4b_110,1.77526379535709
4.4b_111,1.77945647345101
4.4b_114,1.77862756995218
4.4b_116,1.77873530864609
4.4b_117,1.73525045128248
4.4b_118,1.78331112936071
4.4b_119,1.78125293955908
4.4b_11,1.74283903483918
4.4b_120,2.01497687574416
4.4b_12,1.46909801018887
4.4b_13,1.63018301618148
4.4b_148,1.76350869666045
4.4b_149,1.85668991034569
4.4b_14,1.77495712699319
4.4b_156,1.70434839165646
4.4b_157,1.4929302446275
4.4b_159,1.55853310416983
4.4b_15,1.42911232589488
